Date,Time,Open,High,Low,Close,Volume
2022.02.21,18:00,1.13361,1.13402,1.13348,1.13387,1097
2022.02.21,18:30,1.13388,1.13468,1.13378,1.13459,742
2022.02.21,19:00,1.13463,1.13491,1.13392,1.13434,604
2022.02.21,19:30,1.13434,1.13441,1.13354,1.13363,476
2022.02.21,20:00,1.13363,1.13429,1.13171,1.13232,601
2022.02.21,20:30,1.13233,1.13288,1.13167,1.13168,434
2022.02.21,21:00,1.13168,1.13172,1.13062,1.13084,1082
2022.02.21,21:30,1.13085,1.13199,1.13069,1.13180,739
2022.02.21,22:00,1.13180,1.13184,1.13079,1.13092,276
2022.02.21,22:30,1.13093,1.13148,1.13072,1.13146,225
2022.02.21,23:00,1.13145,1.13189,1.13132,1.13132,230
2022.02.21,23:30,1.13133,1.13163,1.13080,1.13156,253
2022.02.22,00:00,1.13128,1.13167,1.13069,1.13077,135
2022.02.22,00:30,1.13079,1.13083,1.13064,1.13068,76
2022.02.22,01:00,1.13068,1.13079,1.12973,1.13011,737
2022.02.22,01:30,1.13012,1.13093,1.12965,1.13093,767
2022.02.22,02:00,1.13091,1.13175,1.13072,1.13166,694
2022.02.22,02:30,1.13167,1.13198,1.13113,1.13138,769
2022.02.22,03:00,1.13137,1.13159,1.13015,1.13050,1339
2022.02.22,03:30,1.13052,1.13088,1.12996,1.13037,1294
2022.02.22,04:00,1.13036,1.13093,1.12978,1.13057,1027
2022.02.22,04:30,1.13055,1.13078,1.13008,1.13045,969
2022.02.22,05:00,1.13046,1.13046,1.12965,1.12995,875
2022.02.22,05:30,1.12996,1.12997,1.12879,1.12923,1076
2022.02.22,06:00,1.12922,1.13002,1.12922,1.12988,786
2022.02.22,06:30,1.12990,1.13002,1.12928,1.12986,737
2022.02.22,07:00,1.12985,1.13077,1.12975,1.13072,727
2022.02.22,07:30,1.13071,1.13092,1.13050,1.13066,911
2022.02.22,08:00,1.13067,1.13080,1.12997,1.13074,912
2022.02.22,08:30,1.13076,1.13124,1.12998,1.13040,1131
2022.02.22,09:00,1.13041,1.13053,1.12925,1.12963,2668
2022.02.22,09:30,1.12962,1.13057,1.12940,1.12966,3097
2022.02.22,10:00,1.12966,1.13259,1.12930,1.13214,4542
2022.02.22,10:30,1.13216,1.13279,1.13128,1.13254,3252
2022.02.22,11:00,1.13256,1.13366,1.13232,1.13349,2715
2022.02.22,11:30,1.13350,1.13352,1.13145,1.13194,2371
2022.02.22,12:00,1.13196,1.13437,1.13182,1.13400,2854
2022.02.22,12:30,1.13400,1.13668,1.13348,1.13523,3817
2022.02.22,13:00,1.13519,1.13587,1.13496,1.13529,3081
2022.02.22,13:30,1.13528,1.13539,1.13372,1.13460,2518
2022.02.22,14:00,1.13460,1.13592,1.13431,1.13538,2676
2022.02.22,14:30,1.13538,1.13553,1.13465,1.13507,2401
2022.02.22,15:00,1.13507,1.13535,1.13409,1.13472,2687
2022.02.22,15:30,1.13472,1.13486,1.13370,1.13410,2090
2022.02.22,16:00,1.13411,1.13467,1.13371,1.13397,2020
2022.02.22,16:30,1.13398,1.13481,1.13353,1.13459,3177
2022.02.22,17:00,1.13459,1.13504,1.13320,1.13321,2921
2022.02.22,17:30,1.13318,1.13499,1.13307,1.13351,4376
2022.02.22,18:00,1.13351,1.13455,1.13309,1.13411,3229
